PT,n
GASTROINTESTINAL FUNGAL INFECTION,1
FLUID REPLACEMENT,1
HEPATIC CYTOLYSIS,1
AXONAL NEUROPATHY,1
EPIDERMOLYSIS,1
WOUND HAEMORRHAGE,1
HEART VALVE INCOMPETENCE,1
SCAPULA FRACTURE,1
WHITE BLOOD CELLS URINE POSITIVE,1
RED BLOOD CELLS URINE POSITIVE,1
STROKE IN EVOLUTION,1
NASAL INFLAMMATION,1
SURFACTANT PROTEIN INCREASED,1
PLEURISY BACTERIAL,1
TUMOUR OBSTRUCTION,1
EXOPHTHALMOS,1
GLUCOCORTICOID DEFICIENCY,1
CARDIAC INDEX INCREASED,1
BLOOD LACTATE DEHYDROGENASE DECREASED,1
BLOOD CHOLINESTERASE DECREASED,1
LOWER LIMB FRACTURE,1
KNEE ARTHROPLASTY,1
VOLVULUS OF SMALL BOWEL,1
HAEMOPERITONEUM,1
BRONCHIAL INJURY,1
ORBITAL MYOSITIS,1
INJECTION SITE ERYTHEMA,1
BLADDER DYSFUNCTION,1
COAGULATION TIME PROLONGED,1
GENITAL ULCERATION,1
CARPAL TUNNEL SYNDROME,1
MIXED LIVER INJURY,1
SOMNAMBULISM,1
PAROPHTHALMIA,1
GASTROINTESTINAL ADENOCARCINOMA,1
MALARIA RELAPSE,1
BREAST CANCER RECURRENT,1
MENTAL FATIGUE,1
IMAGING PROCEDURE ABNORMAL,1
PRURIGO,1
CONJUNCTIVAL HYPERAEMIA,1
CERVIX DISORDER,1
FOCAL PERITONITIS,1
BASE EXCESS DECREASED,1
BILE ACIDS INCREASED,1
PLEUROPERITONEAL COMMUNICATION,1
BLOOD CORTICOTROPHIN INCREASED,1
LIVIDITY,1
UPPER AIRWAY OBSTRUCTION,1
MALARIA,1
IMPAIRED QUALITY OF LIFE,1
LUNG PERFORATION,1
FEMALE REPRODUCTIVE TRACT DISORDER,1
AORTIC DISSECTION RUPTURE,1
ENDOCRINE TOXICITY,1
CLAVICLE FRACTURE,1
DEMENTIA WITH LEWY BODIES,1
HYPERAESTHESIA TEETH,1
DEVICE RELATED BACTERAEMIA,1
CARDIAC FAILURE HIGH OUTPUT,1
ECZEMA ASTEATOTIC,1
ACANTHOMA,1
EASTERN COOPERATIVE ONCOLOGY GROUP PERFORMANCE STATUS ABNORMAL,1
ILEAL STENOSIS,1
VULVAR EROSION,1
ACCIDENTAL EXPOSURE TO PRODUCT PACKAGING,1
SENSORY LOSS,1
FOLLICULITIS,1
PERI-IMPLANTITIS,1
PULMONARY NECROSIS,1
PSYCHIATRIC SYMPTOM,1
PRODUCT DISPENSING ERROR,1
POST PROCEDURAL DISCOMFORT,1
JAW FRACTURE,1
WEIGHT,1
HEPATIC CANCER METASTATIC,1
SPINAL LIGAMENT OSSIFICATION,1
PERICARDITIS INFECTIVE,1
VOGT-KOYANAGI-HARADA DISEASE,1
BASAL CELL CARCINOMA,1
HORMONE LEVEL ABNORMAL,1
NONINFECTIVE ENCEPHALITIS,1
OSTEOSARCOMA METASTATIC,1
TRACHEAL MASS,1
VITAMIN D DECREASED,1
EUTHANASIA,1
MALIGNANT GASTROINTESTINAL OBSTRUCTION,1
FOREARM FRACTURE,1
URETERAL DISORDER,1
URINARY BLADDER RUPTURE,1
DENTAL CARIES,1
ALVEOLAR OSTEITIS,1
PERICORONITIS,1
END STAGE RENAL DISEASE,1
DISSOCIATIVE IDENTITY DISORDER,1
BRAIN FOG,1
INFLAMMATION OF WOUND,1
ANTISYNTHETASE SYNDROME,1
EXTRAPYRAMIDAL DISORDER,1
CARDIAC HYPERTROPHY,1
INFARCTION,1
SKIN FRAGILITY,1
DROOLING,1
PERIPHERAL CIRCULATORY FAILURE,1
CYTOMEGALOVIRUS GASTRITIS,1
RECTAL PERFORATION,1
TRANSFUSION-RELATED CIRCULATORY OVERLOAD,1
HEPATIC HYPERTROPHY,1
THYROXINE FREE INCREASED,1
FEAR,1
GASTROINTESTINAL ANASTOMOTIC HAEMORRHAGE,1
IMMUNE-MEDIATED UVEITIS,1
SPINAL CORD NEOPLASM,1
RENAL CANCER STAGE IV,1
TENDON DISCOMFORT,1
PSEUDOMONAS TEST POSITIVE,1
URINARY TRACT STOMA COMPLICATION,1
CARDIAC DISCOMFORT,1
CERVICAL VERTEBRAL FRACTURE,1
PULMONARY TUMOUR THROMBOTIC MICROANGIOPATHY,1
DEVICE RELATED THROMBOSIS,1
URETERIC COMPRESSION,1
INTERFERON GAMMA RELEASE ASSAY POSITIVE,1
TYPE IV HYPERSENSITIVITY REACTION,1
AUTOIMMUNE THYROIDITIS,1
CHOREA,1
INCISION SITE INFLAMMATION,1
PROCEDURAL INTESTINAL PERFORATION,1
RESPIRATORY TRACT INFLAMMATION,1
SYSTEMIC MYCOSIS,1
PANNICULITIS,1
GLUCOSE URINE PRESENT,1
HYPERTONIC BLADDER,1
ANGULAR CHEILITIS,1
JOINT RANGE OF MOTION DECREASED,1
FOLATE DEFICIENCY,1
ANTINUCLEAR ANTIBODY INCREASED,1
ALDOLASE INCREASED,1
EXTRADURAL ABSCESS,1
PRODUCT DOSE OMISSION IN ERROR,1
HELICOBACTER GASTRITIS,1
RED BLOOD CELL COUNT ABNORMAL,1
POST PROCEDURAL SEPSIS,1
URETERITIS,1
PRODUCT PHYSICAL ISSUE,1
CORNEAL DISORDER,1
HYPERPARATHYROIDISM PRIMARY,1
PARANEOPLASTIC NEUROLOGICAL SYNDROME,1
SYSTEMIC SCLERODERMA,1
EXOSTOSIS,1
CYTOMEGALOVIRUS VIRAEMIA,1
DEGENERATIVE BONE DISEASE,1
GASTROINTESTINAL INJURY,1
JOINT INJURY,1
BLOOD PHOSPHORUS INCREASED,1
BLOOD BILIRUBIN UNCONJUGATED DECREASED,1
PURULENCE,1
BAND NEUTROPHIL COUNT INCREASED,1
BLOOD ZINC DECREASED,1
TEARFULNESS,1
SCRATCH,1
CEREBELLAR HAEMATOMA,1
EOSINOPENIA,1
CRYPTITIS,1
PSEUDOALDOSTERONISM,1
INTESTINAL PSEUDO-OBSTRUCTION,1
HYPERPITUITARISM,1
PEMPHIGUS,1
STOMA SITE ERYTHEMA,1
HAEMORRHAGIC ASCITES,1
FOREIGN BODY IN REPRODUCTIVE TRACT,1
TONGUE ERYTHEMA,1
GINGIVAL ERYTHEMA,1
INSURANCE ISSUE,1
DEAFNESS NEUROSENSORY,1
COXSACKIE VIRUS TEST POSITIVE,1
ACQUIRED EPIDERMOLYSIS BULLOSA,1
HERPES ZOSTER REACTIVATION,1
EXTRA DOSE ADMINISTERED,1
PULMONARY VENOUS THROMBOSIS,1
DEAFNESS UNILATERAL,1
OESOPHAGEAL CANCER METASTATIC,1
ZINC DEFICIENCY,1
IMMUNE-MEDIATED ENCEPHALOPATHY,1
ENCEPHALITIS VIRAL,1
HAEMORRHAGIC GASTROENTERITIS,1
FACIAL PAIN,1
RESPIRATORY PARALYSIS,1
ELECTROCARDIOGRAM Q WAVE ABNORMAL,1
BRAIN NATRIURETIC PEPTIDE ABNORMAL,1
QRS AXIS ABNORMAL,1
TROPONIN I ABNORMAL,1
ELECTROCARDIOGRAM T WAVE ABNORMAL,1
OXYGEN SATURATION ABNORMAL,1
LYMPHOCYTE COUNT INCREASED,1
PRURITUS GENITAL,1
SKIN ODOUR ABNORMAL,1
MALIGNANT NEOPLASM OLIGOPROGRESSION,1
BLOOD BETA-D-GLUCAN POSITIVE,1
VOCAL CORD DISORDER,1
RIGHT VENTRICULAR DILATATION,1
ERECTILE DYSFUNCTION,1
PULMONARY ARTERIAL PRESSURE INCREASED,1
PNEUMONIA KLEBSIELLA,1
CHRONIC SINUSITIS,1
DEVICE PHYSICAL PROPERTY ISSUE,1
IMMOBILISATION SYNDROME,1
PRURITUS ALLERGIC,1
PROTEIN DEFICIENCY,1
URETHRITIS,1
CARCINOID TUMOUR,1
GALLBLADDER RUPTURE,1
MUCOSAL DISORDER,1
UPPER-AIRWAY COUGH SYNDROME,1
NEAR DROWNING,1
COLORECTAL CANCER STAGE III,1
PATELLA FRACTURE,1
FOOT FRACTURE,1
SUSPECTED DRUG-INDUCED LIVER INJURY,1
LYMPHOCYTIC INFILTRATION,1
FAT TISSUE INCREASED,1
AMYLASE ABNORMAL,1
K-RAS GENE MUTATION,1
VITAMIN D INCREASED,1
PNEUMOVIRUS TEST POSITIVE,1
INJURY CORNEAL,1
CELL DEATH,1
VIRAL MYOCARDITIS,1
HER2 POSITIVE BREAST CANCER,1
INCORRECT PRODUCT ADMINISTRATION DURATION,1
IMMUNE-MEDIATED CHOLESTASIS,1
LOW DENSITY LIPOPROTEIN INCREASED,1
CARBON DIOXIDE INCREASED,1
APOLIPOPROTEIN A-I INCREASED,1
AORTIC RUPTURE,1
PRODUCT PACKAGING QUANTITY ISSUE,1
AUTOIMMUNE LUNG DISEASE,1
MICTURITION URGENCY,1
INTRA-ABDOMINAL FLUID COLLECTION,1
OBLITERATIVE BRONCHIOLITIS,1
TEMPOROMANDIBULAR PAIN AND DYSFUNCTION SYNDROME,1
INTESTINAL MUCOSAL ATROPHY,1
INTESTINAL VILLI ATROPHY,1
ENDOPHTHALMITIS,1
MUSCLE TIGHTNESS,1
BONE HYPERTROPHY,1
PROSTATIC DISORDER,1
MYXOEDEMA,1
XEROPHTHALMIA,1
URINE PROTEIN/CREATININE RATIO ABNORMAL,1
CALCIUM DEFICIENCY,1
IMMUNE-MEDIATED OESOPHAGITIS,1
NECROTISING SOFT TISSUE INFECTION,1
IMMUNE-MEDIATED GASTROINTESTINAL DISORDER,1
CATHETER SITE THROMBOSIS,1
ESCHERICHIA BACTERAEMIA,1
SCROTAL OEDEMA,1
CARBOHYDRATE ANTIGEN 50 INCREASED,1
TRIGEMINAL NEURALGIA,1
VENTRICULAR ASYSTOLE,1
ELECTROCARDIOGRAM ABNORMAL,1
RENAL ARTERY OCCLUSION,1
GASTRIC HYPOMOTILITY,1
BEZOAR,1
GASTROINTESTINAL CANCER METASTATIC,1
LIVER TENDERNESS,1
NECROTISING COLITIS,1
FOREIGN BODY ASPIRATION,1
EYE IRRITATION,1
SERRATIA INFECTION,1
CEREBRAL ARTERY OCCLUSION,1
NASAL DISCOMFORT,1
CRYING,1
HEPATITIS B SURFACE ANTIGEN POSITIVE,1
CONDUCTIVE DEAFNESS,1
ANGIOSCLEROSIS,1
CAROTID ARTERY DISEASE,1
PANCREATIC DISORDER,1
PERCUSSION TEST ABNORMAL,1
ANTITHROMBIN III INCREASED,1
BLOOD FIBRINOGEN INCREASED,1
SKIN TURGOR DECREASED,1
BILE CULTURE POSITIVE,1
SPUTUM CULTURE POSITIVE,1
BLOOD BETA-D-GLUCAN INCREASED,1
REFUSAL OF TREATMENT BY RELATIVE,1
INTENTIONAL SELF-INJURY,1
INTERNATIONAL NORMALISED RATIO FLUCTUATION,1
LYMPHOCYTE PERCENTAGE DECREASED,1
PERSECUTORY DELUSION,1
ANOXIA,1
INFUSION SITE PAIN,1
DRUG LEVEL DECREASED,1
OPPORTUNISTIC INFECTION,1
RHONCHI,1
HEPARIN-INDUCED THROMBOCYTOPENIA,1
RESUSCITATION,1
PENIS DISORDER,1
GENITAL CANDIDIASIS,1
ALPHA HAEMOLYTIC STREPTOCOCCAL INFECTION,1
ANION GAP INCREASED,1
BACTEROIDES INFECTION,1
X-RAY GASTROINTESTINAL TRACT ABNORMAL,1
RADIATION MYELOPATHY,1
LARYNGEAL STENOSIS,1
BRAIN COMPRESSION,1
ADNEXA UTERI MASS,1
CAVERNOUS SINUS THROMBOSIS,1
INJECTION SITE DISCHARGE,1
GENERAL PHYSICAL CONDITION NORMAL,1
GAMMOPATHY,1
HIV ANTIBODY,1
ELECTROCARDIOGRAM QRS COMPLEX ABNORMAL,1
DUODENAL ULCER PERFORATION,1
ECTOPIC ANTIDIURETIC HORMONE SECRETION,1
BLOOD PRESSURE AMBULATORY INCREASED,1
POLYNEUROPATHY IN MALIGNANT DISEASE,1
ANTINUCLEAR ANTIBODY POSITIVE,1
BLOOD UREA ABNORMAL,1
AUTONOMIC NEUROPATHY,1
DILATATION ATRIAL,1
MENINGORRHAGIA,1
NASAL OEDEMA,1
NECROSIS ISCHAEMIC,1
PROTHROMBIN TIME SHORTENED,1
CONJUNCTIVITIS VIRAL,1
OCULOMUCOCUTANEOUS SYNDROME,1
HYPERCOAGULATION,1
SYSTEMIC LUPUS ERYTHEMATOSUS,1
INFUSION SITE CELLULITIS,1
ADRENAL HAEMORRHAGE,1
VITREOUS FLOATERS,1
DILATATION INTRAHEPATIC DUCT ACQUIRED,1
SCLERODERMA,1
PULSE ABNORMAL,1
ASPIRATION PLEURAL CAVITY ABNORMAL,1
LOWER RESPIRATORY TRACT INFECTION FUNGAL,1
ILIAC ARTERY OCCLUSION,1
VASCULAR OCCLUSION,1
RASH MORBILLIFORM,1
INTERNATIONAL NORMALISED RATIO,1
CERVIX CARCINOMA,1
HYPERCAPNIA,1
INTESTINAL POLYP,1
ACUTE LEFT VENTRICULAR FAILURE,1
CRYPTOGENIC CIRRHOSIS,1
ERYTHRODERMIC PSORIASIS,1
ANAEMIA MEGALOBLASTIC,1
LABILE BLOOD PRESSURE,1
ILEAL GANGRENE,1
CHEMOTHERAPY EXTRAVASATION MANAGEMENT,1
BLOOD PRESSURE ORTHOSTATIC,1
ACTIVATED PARTIAL THROMBOPLASTIN TIME SHORTENED,1
COAGULATION FACTOR DECREASED,1
PROTHROMBIN LEVEL DECREASED,1
VOCAL CORD PARALYSIS,1
WAIST CIRCUMFERENCE INCREASED,1
GLOMERULONEPHROPATHY,1
HEPATIC ARTERY THROMBOSIS,1
RECTAL ABSCESS,1
HEPATOJUGULAR REFLUX,1
GASTRIC INFECTION,1
COR PULMONALE ACUTE,1
INJURY,1
PSYCHOTIC DISORDER DUE TO A GENERAL MEDICAL CONDITION,1
CARDIOVERSION,1
SPECIFIC GRAVITY URINE INCREASED,1
PELVIC ABSCESS,1
ENDOTRACHEAL INTUBATION COMPLICATION,1
TRACHEOSTOMY,1
OVARIAN CANCER,1
PLEURAL FISTULA,1
APPENDICECTOMY,1
COLOSTOMY CLOSURE,1
ABDOMINAL REBOUND TENDERNESS,1
ESCHERICHIA URINARY TRACT INFECTION,1
BACK INJURY,1
X-RAY OF PELVIS AND HIP ABNORMAL,1
HENOCH-SCHONLEIN PURPURA,1
PHOTODERMATOSIS,1
PERICARDIAL DRAINAGE,1
CEREBRAL HAEMATOMA,1
BLOOD THROMBOPLASTIN INCREASED,1
POOR PERSONAL HYGIENE,1
DEBRIDEMENT,1
INCISIONAL DRAINAGE,1
MUSCLE FLAP OPERATION,1
ORCHIDECTOMY,1
PENILE INFECTION,1
PROTEUS INFECTION,1
SKIN GRAFT,1
ENTEROBACTER BACTERAEMIA,1
MALLORY-WEISS SYNDROME,1
RETINOPATHY,1
OSTEOMYELITIS CHRONIC,1
CATHETER SITE EROSION,1
DIPHTHERIA,1
HERNIA REPAIR,1
PERITONEAL ABSCESS,1
ANAEMIA MACROCYTIC,1
HAEMANGIOMA OF LIVER,1
INTESTINAL FISTULA INFECTION,1
FIXED ERUPTION,1
ABDOMINAL COMPARTMENT SYNDROME,1
THORACIC CAVITY DRAINAGE,1
PANCREATIC PSEUDOCYST,1
ANGIODYSPLASIA,1
ELECTROCAUTERISATION,1
HEPATITIS TOXIC,1
BACTEROIDES BACTERAEMIA,1
GASTROPLEURAL FISTULA,1
TUMOUR EXCISION,1
INJECTION SITE REACTION,1
VASCULAR GRAFT,1
LIMB OPERATION,1
EXCESSIVE GRANULATION TISSUE,1
METASTASES TO RETROPERITONEUM,1
RETINAL ARTERY STENOSIS,1
TRUNCUS COELIACUS THROMBOSIS,1
HEPATIC FIBROSIS,1
BONE LESION,1
STASIS DERMATITIS,1
HYPERTENSIVE NEPHROPATHY,1
MEDIASTINAL ABSCESS,1
LUNG CANCER METASTATIC,1
NEPHRECTOMY,1
SARCOMA METASTATIC,1
CORNEAL LESION,1
SUBDIAPHRAGMATIC ABSCESS,1
EUPHORIC MOOD,1
DRUG WITHDRAWAL SYNDROME,1
INFREQUENT BOWEL MOVEMENTS,1
CHOLINERGIC SYNDROME,1
PERFORATED ULCER,1
LEFT VENTRICULAR FAILURE,1
IRON DEFICIENCY,1
TONIC CONVULSION,1
SIDEROBLASTIC ANAEMIA,1
GLIOBLASTOMA MULTIFORME,1
APRAXIA,1
BLOOD CALCIUM ABNORMAL,1
EYE HAEMORRHAGE,1
LENTIGO,1
CHRONIC MYELOMONOCYTIC LEUKAEMIA,1
MARROW HYPERPLASIA,1
MONOCYTOSIS,1
INTESTINAL MUCOSAL HYPERTROPHY,1
GASTRIC PH DECREASED,1
OROPHARYNGEAL SWELLING,1
FOOD INTOLERANCE,1
ALPHA 1 FOETOPROTEIN INCREASED,1
CALCINOSIS,1
CEREBRAL VENTRICLE DILATATION,1
PNEUMONIA STAPHYLOCOCCAL,1
VASCULAR CALCIFICATION,1
URETERIC INJURY,1
PANIC DISORDER,1
RENAL NEOPLASM,1
DERMATOSIS,1
ORAL HERPES,1
THERAPEUTIC EMBOLISATION,1
STASIS SYNDROME,1
CONJUNCTIVAL PALLOR,1
DYSMENORRHOEA,1
OLIGOMENORRHOEA,1
ILIAC ARTERY STENOSIS,1
PROSTATE INFECTION,1
BETA 2 MICROGLOBULIN INCREASED,1
PARTIAL SEIZURES,1
BLADDER DIVERTICULUM,1
MUCOSAL DRYNESS,1
MOUTH INJURY,1
PHARYNGEAL INJURY,1
WOUND COMPLICATION,1
DIASTOLIC DYSFUNCTION,1
DILATATION VENTRICULAR,1
OCULAR HYPERTENSION,1
INCISION SITE ABSCESS,1
ADMINISTRATION SITE REACTION,1
INJECTION SITE BRUISING,1
SNORING,1
BENIGN OVARIAN TUMOUR,1
VITILIGO,1
SMALL INTESTINE CARCINOMA,1
RETROPERITONEAL MASS,1
SMALL CELL LUNG CANCER,1
BUNDLE BRANCH BLOCK LEFT,1
HYPERPHOSPHATAEMIA,1
BICUSPID AORTIC VALVE,1
PSYCHOMOTOR HYPERACTIVITY,1
APALLIC SYNDROME,1
HAEMOGLOBIN,1
NIPPLE PAIN,1
COMPLEMENT FACTOR C3 DECREASED,1
FURUNCLE,1
RENAL ARTERY THROMBOSIS,1
ADJUSTMENT DISORDER,1
PERSONALITY DISORDER,1
SUICIDAL IDEATION,1
MEAN CELL HAEMOGLOBIN CONCENTRATION INCREASED,1
ULTRASOUND SCAN ABNORMAL,1
FANCONI SYNDROME,1
PLEURAL MESOTHELIOMA,1
PERIPHERAL VASCULAR DISORDER,1
CONJUNCTIVAL OEDEMA,1
ANORECTAL DISCOMFORT,1
GINGIVAL BLISTER,1
CATHETER SITE BRUISE,1
GASTROINTESTINAL CARCINOMA,1
MALIGNANT SPLENIC NEOPLASM,1
ANORECTAL DISORDER,1
RESPIRATORY TRACT CONGESTION,1
PHARYNGITIS STREPTOCOCCAL,1
WEIGHT BEARING DIFFICULTY,1
METASTASES TO THYROID,1
LACTOSE INTOLERANCE,1
RENAL ATROPHY,1
GLUCOSE URINE,1
RED BLOOD CELLS URINE,1
VENOUS OXYGEN PARTIAL PRESSURE INCREASED,1
CORONARY ARTERY DISSECTION,1
PANTOEA AGGLOMERANS INFECTION,1
PNEUMOCOCCAL SEPSIS,1
FEMORAL ARTERY EMBOLISM,1
ILIAC ARTERY EMBOLISM,1
SPLENIC VEIN THROMBOSIS,1
DEVICE ISSUE,1
CONTINUOUS HAEMODIAFILTRATION,1
INTESTINAL DILATATION,1
PELVIC FRACTURE,1
FIBROMYALGIA,1
APPARENT DEATH,1
CHRONIC RESPIRATORY FAILURE,1
WOUND ABSCESS,1
MENTAL DISORDER DUE TO A GENERAL MEDICAL CONDITION,1
BREAST PAIN,1
DISABILITY,1
METAPLASIA,1
HYPERTRICHOSIS,1
SINUS RHYTHM,1
METASTASES TO NECK,1
POST PROCEDURAL SWELLING,1
NEUTROPHILIA,1
PUPILLARY REFLEX IMPAIRED,1
METASTASES TO UTERUS,1
OESOPHAGEAL INFECTION,1
HAEMATOLOGY TEST ABNORMAL,1
SKIN HYPOPIGMENTATION,1
IRRITABLE BOWEL SYNDROME,1
BENIGN GASTRIC NEOPLASM,1
BLOOD POTASSIUM ABNORMAL,1
ABDOMINAL SYMPTOM,1
BLEPHARITIS,1
MEIBOMIANITIS,1
PUNCTATE KERATITIS,1
BRADYPHRENIA,1
RENAL FUNCTION TEST ABNORMAL,1
NECROTISING OESOPHAGITIS,1
SPUTUM INCREASED,1
HAEMORRHAGIC STROKE,1
ATONIC SEIZURES,1
ALANINE AMINOTRANSFERASE,1
ASPARTATE AMINOTRANSFERASE,1
OEDEMA MOUTH,1
PERIPHERAL PARALYSIS,1
RED CELL DISTRIBUTION WIDTH DECREASED,1
DIEULAFOY'S VASCULAR MALFORMATION,1
ELECTROCARDIOGRAM R ON T PHENOMENON,1
PLASMA CELL MYELOMA,1
SUBACUTE CUTANEOUS LUPUS ERYTHEMATOSUS,1
MUCOSAL EXFOLIATION,1
NERVOUS SYSTEM NEOPLASM,1
METASTASES TO OESOPHAGUS,1
ARTHRITIS INFECTIVE,1
ECCHYMOSIS,1
MYOPIA,1
SQUAMOUS CELL CARCINOMA,1
ACUTE UNDIFFERENTIATED LEUKAEMIA,1
AMMONIA INCREASED,1
GINGIVAL HYPERTROPHY,1
HEPATOSPLENOMEGALY,1
TONSILLAR HYPERTROPHY,1
INTRAOCULAR PRESSURE INCREASED,1
INFECTIVE ANEURYSM,1
MYCOTIC ENDOPHTHALMITIS,1
